item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width,product_description,current_status,kewords,topic_group,topic_desc
10356127,VÄDRA,Tables & desks,30,No old price,TRUE,https://www.ikea.com/sa/en/p/vaedra-cover-for-babycare-mat-10356127/,No,"        Cover for babycare mat,          48x74 cm",Annie Huldén,,,48,Item discontinued,Item discontinued,,,
353761,KLIMPEN,Tables & desks,200,No old price,TRUE,https://www.ikea.com/sa/en/p/klimpen-add-on-unit-grey-light-grey-00353761/,Yes,"        Add-on unit,          58x23 cm",Tina Christensen,23,23,58,Item discontinued,Item discontinued,,,
79140700,ÖVRARYD,Tables & desks,635,SR 745,TRUE,https://www.ikea.com/sa/en/p/oevraryd-table-white-bamboo-bamboo-backaryd-white-s79140700/,Yes,"        Table,          150x78 cm",David Wahl,,75,78,Item discontinued,Item discontinued,,,
90365458,TORSKLINT,Tables & desks,100,No old price,TRUE,https://www.ikea.com/sa/en/p/torsklint-leg-light-grey-90365458/,No,"        Leg,          70 cm",Jomi Evers,,70,,Item discontinued,Item discontinued,,,
366301,BEKANT,Tables & desks,675,No old price,TRUE,https://www.ikea.com/sa/en/p/bekant-table-top-white-stained-oak-veneer-00366301/,Yes,"        Table top,          160x80 cm",K Malmvall/E Lilja Löwenhielm,,,80,Item discontinued,Item discontinued,,,
29287964,BEKANT,Tables & desks,1769,"SR 2,240",TRUE,https://www.ikea.com/sa/en/p/bekant-reception-desk-black-stained-ash-veneer-black-s29287964/,Yes,"        Reception desk,          160x80 55 cm",K Malmvall/E Lilja Löwenhielm,80,,,Item discontinued,Item discontinued,,,
29296690,BEKANT,Tables & desks,6180,No old price,TRUE,https://www.ikea.com/sa/en/p/bekant-conference-table-black-stained-ash-veneer-white-s29296690/,Yes,"        Conference table,          420x140 cm",K Malmvall/E Lilja Löwenhielm,,73,140,Item discontinued,Item discontinued,,,
69276256,MÖCKELBY / HENRIKSDAL,Tables & desks,4265,No old price,TRUE,https://www.ikea.com/sa/en/p/moeckelby-henriksdal-table-and-6-chairs-white-blekinge-white-s69276256/,No,"        Table and 6 chairs,          235x100 cm",Marcus Arvonen/IKEA of Sweden,,74,100,Item discontinued,Item discontinued,,,
69253146,STUVA / FRITIDS,Tables & desks,810,No old price,TRUE,https://www.ikea.com/sa/en/p/stuva-fritids-changing-table-with-drawers-white-white-s69253146/,Yes,"        Changing table with drawers,          90x79x102 cm",Ebba Strandmark/IKEA of Sweden,79,102,90,Item discontinued,Item discontinued,,,
361940,INGATORP,Tables & desks,695,No old price,TRUE,https://www.ikea.com/sa/en/p/ingatorp-desk-white-00361940/,Yes,"        Desk,          73x50 cm",Carina Bengs,50,74,73,Item discontinued,Item discontinued,,,
